time,close,high,low,open,volumefrom,volumeto
1501545600,439.27,488.8,218.39,421,4070.04,1364069.69
1501632000,551.59,974.71,362.02,439.27,81509.81,44939867.63
1501718400,405.92,635.73,381.08,551.59,92856.1,39430900.09
1501804800,253.13,414.38,252.57,405.92,133487.37,39012988.12
1501891200,220.3,294.84,206.64,253.13,116728.92,26697590.83
1501977600,241.87,241.87,210.13,220.3,92025.16,19175891.13
1502064000,322.6,411.56,239.47,241.87,305369.81,89374025.1
1502150400,343.43,388.34,310.51,322.6,189918.52,65405748.92
1502236800,301.17,349.93,289.74,343.43,98243.16,31524578.59
1502323200,274.48,312.53,268.44,301.17,90794.01,26331114.65
1502409600,326.26,352.53,271.46,274.48,115445.06,37100135.8
1502496000,316,344.59,311.04,326.26,41121.01,13359671.69
1502582400,295.15,317.69,293.93,316,44494.54,13655828.8
1502668800,300.03,329.77,291.25,295.15,62398.26,19118045.5
1502755200,297.36,307.42,290.02,300.03,38751.32,11537495.55
1502841600,299.68,309.36,285.48,297.36,35034.62,10407736.35
1502928000,445.19,449.75,292.4,299.68,190744.55,72997662.11
1503014400,689.83,777.54,437.81,445.19,599573.95,350422575.89
1503100800,738.54,965.48,604.03,689.83,488212.73,382644710.5
1503187200,719.27,849.16,677.96,738.54,231694.52,176097781.09
1503273600,605.22,749.65,557.92,719.27,216266.02,137835348.17
1503360000,684.6,734.16,566.86,605.22,190941.81,127212595.92
1503446400,674.08,710.85,651.32,684.6,66100.43,44395029.53
1503532800,619.83,701.11,601.6,674.08,74455.2,47944401.5
1503619200,632.48,664.74,615.09,619.83,50996.06,32464569.83
1503705600,621.43,638.56,612.25,632.48,29106.51,18170375.11
1503792000,616.29,651.88,581.68,621.43,66741.61,40956416.01
1503878400,591.11,626.64,581.81,616.29,31720.36,19001371.41
1503964800,544.74,596.56,524.32,591.11,77738,43470346.16
1504051200,580.34,613.18,529.64,544.74,83886.18,47761724.91
1504137600,592.59,609.23,570.5,580.34,47178.07,27937832.9
1504224000,628.73,653.56,586.63,592.59,60745.39,37807706.16
1504310400,572.65,645.8,560.98,628.73,62092.22,36984224.54
1504396800,609.85,622.73,559.22,572.65,46203.88,27470981.39
1504483200,519.3,611.5,496.84,609.85,72956.35,39354607.68
1504569600,546.74,560.22,472.51,519.3,58083.51,30106018.14
1504656000,647.64,657.3,539.13,546.74,88989.8,54825116.2
1504742400,667.56,718.92,604.32,647.64,105468.99,70423045.63
1504828800,605.66,698.49,573.09,667.56,104688.46,65565655.08
1504915200,586.24,610.28,565.57,605.66,41215.06,24260056.8
1505001600,556.9,586.81,524.98,586.24,49721.21,27588948.77
1505088000,556.02,590.17,550.1,556.9,35006.3,19801627.19
1505174400,536.96,577.62,530.07,556.02,39799.94,22082978.96
1505260800,506.49,538.98,471.08,536.96,70909.36,35647701.89
1505347200,386.49,515.58,385.45,506.49,98635.73,43447407.4
1505433600,428.88,454.21,301.55,386.49,209392.62,81380795.6
1505520000,443.21,470.7,411.53,428.88,80026.4,35057627.63
1505606400,439.07,450.88,407.81,443.21,38498.31,16667495.97
1505692800,486.03,492.49,438.38,439.07,70189.85,33211175.33
1505779200,530.6,548.13,454.77,486.03,99852.71,50064941.67
1505865600,477.25,530.64,475.32,530.6,98868.91,49416655.67
1505952000,416.13,484.72,413.8,477.25,76159.01,34350076.54
1506038400,409.63,434.17,395.09,416.13,65044.59,26731878.33
1506124800,430.31,436.14,403.33,409.63,36856.66,15542354.15
1506211200,421.19,434.34,416.62,430.31,33943.57,14388923.18
1506297600,450.85,458.18,420.14,421.19,53204.05,23480486.36
1506384000,449.56,463.55,448.95,450.85,32491.91,14765728.97
1506470400,464.14,468.64,439.9,449.56,66193.41,30195113.53
1506556800,458.15,481.59,442.15,464.14,74325.45,34380897.03
1506643200,440.55,459.63,430.44,458.15,48262.99,21350204.92
1506729600,435.95,454.85,433.77,440.55,54455.28,24220359.29
1506816000,418.05,440.56,417.1,435.95,56383.01,24068045.14
1506902400,419.68,432.22,410.32,418.05,71968.89,30198291.7
1506988800,401.41,420.69,393.03,419.68,42773.01,17248218.77
1507075200,355.75,403.22,351.3,401.41,124502.91,46419226.31
1507161600,354.4,368.14,343.72,355.75,107627.58,38188747.04
1507248000,363.22,374.54,352.91,354.4,53859.01,19726320.95
1507334400,359.81,368.17,354.21,363.22,32557.49,11726397.59
1507420800,343.52,363.79,335.7,359.81,62838.57,22147895.06
1507507200,312.43,343.95,282.18,343.52,135597.09,42738393.43
1507593600,317.19,350.11,304.52,312.43,125190.16,40789265.44
1507680000,314.21,320.54,309.23,317.19,61615.98,19338916.48
1507766400,310.56,331.11,306.25,314.21,101049.2,32051057.84
1507852800,320.11,324.32,291.98,310.56,118653.63,36812373.16
1507939200,321.67,327.54,314.65,320.11,67206.51,21544074.06
1508025600,314.1,323.38,307.61,321.67,37848.62,11896226.69
1508112000,313.94,317.85,310.07,314.05,27676.61,8702010.54
1508198400,367.84,399.86,308.23,313.99,243410.54,88485919.9
1508284800,338.72,374.16,305.96,367.94,120444.57,40142126.1
1508371200,329.66,339,323.81,338.77,54347.94,17971549.74
1508457600,326.03,333.91,320.67,329.6,43810.23,14375667.89
1508544000,322.12,329.13,313.13,326.15,31405.55,10098593.04
1508630400,325.88,358.27,318.36,321.94,93903.63,31515652.72
1508716800,312.05,329.97,300.26,324.88,66606.73,20958214.24
1508803200,322.28,337.42,303.73,312.05,77264.23,25115720.96
1508889600,329.47,331.41,315.28,322.72,34958.2,11348229.55
1508976000,335.68,350.73,325.66,329.31,70179.03,23659411.7
1509062400,363.84,373.46,335.63,335.75,127583.8,45524489.34
1509148800,417.22,420.87,363.13,363.82,175686.09,67773673.63
1509235200,451.91,523.08,400.41,416.77,572432.17,259090603.37
1509321600,444.93,482.58,416.06,451.91,193899.08,87034115.9
1509408000,435.48,456.3,426.3,444.93,98339.43,43638797.69
1509494400,529.88,546.11,434.45,435.48,249273.2,122331291.42
1509580800,562.79,593.68,492.39,530.24,314670.88,170606048.18
1509667200,626.04,686.21,558.53,563.21,331298.66,212978833.44
1509753600,614.26,641.55,563.07,626.02,224020.94,136414146.92
1509840000,625.72,637.29,570.83,614.26,147005.72,88707513
1509926400,588.68,656.75,588.18,625.72,160442.93,99875447.46
1510012800,603.26,617.44,584.38,588.55,72283.97,43387451.36
1510099200,617.41,644.2,522.79,603.17,213140.03,129168410.93
1510185600,650.09,675.39,612.32,617,138517.84,88271349.36
1510272000,995.4,1029.27,647.39,650.09,668162.3,562027429.83
1510358400,1325.56,1414.14,897.92,989.87,350109.81,404695851.15
1510444800,1374.39,2694.37,1187.01,1325.56,544972.02,877406443.96
1510531200,1346.96,1515.47,1012.22,1369.5,288010.82,361634817.91
1510617600,1251.63,1374.76,1186.56,1346.96,129369.96,165309100.46
1510704000,1187.03,1318.8,1164.95,1251.62,108532.62,135275562.63
1510790400,896.51,1193.4,873.44,1185.84,196969.98,203434765.52
1510876800,1175.54,1209.41,856.95,897.76,229956.38,246137619.18
1510963200,1243.86,1371.18,1174.86,1177.05,186220.18,237178090.81
1511049600,1176.66,1257.17,1132.28,1242.89,96217.99,114092155.08
1511136000,1245.28,1252.75,1170.82,1177.07,63055,75604482.13
1511222400,1169.9,1247.73,1146.25,1245.28,73911.91,87834756.56
1511308800,1298.62,1346.06,1164.3,1169.9,106768.91,135737842.08
1511395200,1662.21,1663.3,1293.66,1297.83,201412.14,301664725.36
1511481600,1625.05,1765.76,1529.13,1662.4,159800.54,265161800.14
1511568000,1546.22,1635.9,1517.64,1625.05,106475.37,168521398.64
1511654400,1719.36,1729,1528.69,1546.46,45358.13,73523501.34
1511740800,1587.66,1720.27,1557.31,1718.73,99369,162585449.5
1511827200,1481.93,1592.39,1469.1,1587.58,97309.59,149808661.02
1511913600,1333.15,1627.86,1277.59,1481.92,178364.5,262656502.72
1512000000,1318.42,1415.75,1174.84,1333.52,116177.53,150181384.27
1512086400,1426.5,1451.12,1243.5,1318.42,94281.57,128160246.64
1512172800,1390.58,1464.77,1371.13,1426.57,46212.49,65529684.57
1512259200,1511.46,1621.91,1378.47,1390.92,110384.17,170307885.53
1512345600,1540.7,1543.78,1438.56,1511.37,61047.95,91600694.31
1512432000,1421.42,1581.8,1410.56,1540.64,76294.69,113943413.18
1512518400,1349.75,1461.22,1309.53,1421.41,92022.37,129572220.35
1512604800,1230,1363.09,1217.38,1349.74,123812.84,156825923.82
1512691200,1383.3,1560.71,1137.42,1229.9,203852.98,281476871.56
1512777600,1369.36,1466.48,1305.28,1383.33,83939.26,116894421.1
1512864000,1289.78,1369.53,1186.48,1369.53,80859.32,103219889.01
1512950400,1402.18,1429.02,1288.39,1289.42,70404.27,96857495.59
1513036800,1543.45,1601.28,1330.78,1402.35,108785.79,162733015.51
1513123200,1572.91,1664.79,1444.1,1544.92,125131.91,194831180.86
1513209600,1933.27,2053.26,1561.3,1572.91,220803.74,409667501.78
1513296000,1795.31,1939.79,1630.62,1933.27,109849.42,191047439.84
1513382400,1773.75,1864.87,1733.98,1797.03,62028.65,110491376.74
1513468800,1827.41,1904.01,1773.1,1773.75,60356.9,110593944.27
1513555200,2146.79,2311.36,1750.39,1827.41,203611.05,418792732.06
1513641600,2670.97,2827.39,2075.48,2146.46,272005.86,651099368.75
1513728000,3715.91,4112.39,2665.55,2670.97,545546.68,1915071070.77
1513814400,3084.09,3717.55,2857.3,3715.91,242943.03,787854447.7
1513900800,2521.46,3163.97,1716.84,3084.09,397962.38,959174529.93
1513987200,2991.57,3249.32,2466.89,2521.45,189040.5,562467930.34
1514073600,2797.92,2997.03,2463.15,2991.58,164197.45,439830450.44
1514160000,2739.94,2883.55,2600.42,2797.92,67929.79,187864797.77
1514246400,2921.84,2929.03,2720.99,2739.94,64768.32,182771250.32
1514332800,2710.64,2924.47,2568.85,2921.89,58588.61,161281901.39
1514419200,2484.96,2727.03,2291.94,2710.64,79023.66,193654890.44
1514505600,2619.32,2884.96,2311.24,2486.54,107608.19,279681307.4
1514592000,2209.96,2634.36,2103.91,2622.42,95886.67,221420859.69
1514678400,2371.83,2485.77,2165.12,2210.18,55810.75,131177357.02
1514764800,2319.12,2413.01,2258.29,2371.83,34566.74,80872345.44
1514851200,2555.49,2719.88,2314.12,2319.12,85541.57,213749238.32
1514937600,2557.52,2776.56,2517.54,2555.49,65561.81,170977759.75
1515024000,2355.78,2558.9,2315.7,2556.37,69356.28,167327220.48
1515110400,2390.04,2523.51,2306.49,2355.68,78812.67,188339076.32
1515196800,2533.24,2639.55,2326.08,2390.04,76198.33,189153648.98
1515283200,2530.44,2760.35,2492.92,2533.24,77755.49,203905526.98
1515369600,2404.74,2572.13,2207.35,2530.5,71860.87,173810008.85
1515456000,2376.68,2489.58,2319.19,2404.74,49307.69,118646869.3
1515542400,2856.93,2944.89,2291.94,2376.68,164422.06,428980394.88
1515628800,2437.92,2952.68,2341.77,2856.94,144720.16,370363445.96
1515715200,2596.2,2628.15,2372.67,2437.92,58436.46,147982320.1
1515801600,2664.9,2869.38,2561.7,2596.21,68076.41,183442789.42
1515888000,2530.21,2728.55,2441.03,2664.98,44514.4,114182801.74
1515974400,2394.05,2558.33,2352.1,2530.59,50762.57,124413534.2
1516060800,1761.61,2411.97,1525.13,2394.02,211689.81,413640550.4
1516147200,1748.8,1903.53,1342.05,1760.95,168430.05,275433374.11
1516233600,1708.87,1881.06,1681.82,1748.8,77029.25,138733377.09
1516320000,1756.72,1853.19,1693.94,1708.87,46793.43,82814184.28
1516406400,2024.32,2114.15,1753.95,1756.72,76878.11,150204592.86
1516492800,1772.37,2025.18,1709.25,2024.32,64013.53,116810397.92
1516579200,1606.05,1805.85,1509.89,1772.37,68392.84,111361124.15
1516665600,1614.46,1692.62,1490.35,1606.05,55456.28,88416102.82
1516752000,1653.46,1676.53,1558.92,1614.46,39267.99,63619330.87
1516838400,1632.11,1699.85,1601.02,1653.46,31327.58,51824161.08
1516924800,1594.67,1672.5,1485.56,1631.96,52474.44,82441054.63
1517011200,1632.08,1664.05,1559.98,1594.67,30365.61,49189009.08
1517097600,1742.54,1755.53,1631.94,1632.08,57954.17,98711706.94
1517184000,1650.36,1753.53,1630.34,1742.54,29214.55,49086467.06
1517270400,1462.99,1653.4,1451.79,1650.33,56836.85,87724135.57
1517356800,1487.18,1519.81,1397.98,1462.94,48581.92,71084957.65
1517443200,1267.99,1497.56,1205.35,1487.18,82606.34,109869806.02
1517529600,1192.13,1269.81,968.68,1267.99,125569.3,143714769.61
1517616000,1273.08,1318.52,1066.83,1192.13,55292.57,66300292.5
1517702400,1158.57,1289.48,1091.24,1273.33,56805.55,66945106.18
1517788800,884,1175.17,827.38,1158.63,110686.53,106539840.76
1517875200,966.79,977.59,758.43,884.28,171195.13,148384673.61
1517961600,954.34,1035.92,896.52,966.87,81874.09,79923338.86
1518048000,1280.55,1355.15,947.53,954.81,175942.65,214474236.99
1518134400,1299.97,1338.29,1191.77,1280.55,90046.46,114267322.89
1518220800,1240.62,1381.63,1198.68,1299.97,73317.51,93963908.26
1518307200,1210.99,1298.3,1188.47,1240.54,54895.1,67332282.15
1518393600,1282.63,1293.05,1208.89,1211.03,31886.53,40345803.75
1518480000,1220.89,1285.27,1200.31,1282.05,36215.01,44591425.59
1518566400,1353.18,1376.41,1220.51,1220.75,60999.91,79707919.34
1518652800,1359.47,1392.66,1310.22,1353.19,60927.45,82442472.88
1518739200,1530.44,1547.53,1355.45,1359.47,93378.64,138109049.14
1518825600,1543.21,1553.42,1502.28,1530.42,41821.44,63990375.61
1518912000,1453.37,1635.6,1395.59,1543.21,75060.95,114117616.17
1518998400,1521.92,1543.78,1452.28,1453.2,35499.42,53611463.67
1519084800,1393.77,1553.99,1382.59,1521.88,59324.36,88749089.63
1519171200,1287.06,1407.46,1269.28,1393.76,77156.39,103151392.56
1519257600,1210,1341.78,1178.29,1287.03,55340.84,68674973.89
1519344000,1256.52,1314.1,1148.95,1209.98,55199.9,68204427.7
1519430400,1182.03,1299.76,1136.36,1256.73,41958.11,50410015.34
1519516800,1172.58,1203.52,1137.12,1182.03,30581.37,35860331.02
1519603200,1244.42,1271.04,1142.92,1172.58,42834.66,52096798
1519689600,1234.2,1295.46,1218.79,1244.42,34672.53,43526909.53
1519776000,1200.33,1275.66,1198.75,1234.17,29735.14,36633612.32
1519862400,1285.01,1303.12,1189.7,1200.33,39078.61,49698398.88
1519948800,1276.64,1303.38,1254.94,1284.9,26693.95,34180148.43
1520035200,1272.26,1298.19,1258.2,1276.64,18584.98,23806066.61
1520121600,1285.24,1291.25,1224.25,1272.26,19411.74,24322755.34
1520208000,1266.93,1291.84,1265.93,1285.24,17016.34,21796123.43
1520294400,1207.43,1266.93,1176.58,1266.93,27914.11,34034339.1
1520380800,1095.91,1223.5,1039.56,1207.49,55007.26,61717752.11
1520467200,1033.96,1116.18,997.27,1095.21,51525.31,54449069.86
1520553600,1065.69,1076.21,926.69,1033.96,76018.18,74990482.15
1520640000,1003.78,1089.16,990.53,1065.69,34916.84,36509623
1520726400,1138.84,1157.26,969.39,1003.78,58706.14,63353716.37
1520812800,1051.06,1150.22,1012.06,1138.84,51798.63,56197766.22
1520899200,1053.55,1099.83,994.61,1051.06,70300.42,73859997.65
1520985600,950.28,1072.38,918.41,1053.72,45440.37,45006196.01
1521072000,939.68,955.7,874.63,950.28,50170.39,46027181.95
1521158400,972.37,1063.18,897.78,939.68,68806.52,67652711.21
1521244800,948.93,1030.74,929.37,972.28,44626.89,43519077.02
1521331200,936.27,952.29,848.58,949.45,60687.24,54591156.08
1521417600,994.67,1000.07,912.28,936.28,61104.15,58729088.37
1521504000,1062.82,1074.07,953.38,994.36,64378.46,65725834.78
1521590400,1031.78,1084.51,1009.37,1062.82,39952.43,41647329.16
1521676800,1015.19,1065.19,987.44,1031.75,37921.37,38596693.88
1521763200,1029.74,1030.62,963.72,1015.19,32631.3,32361593.34
1521849600,975.94,1036.05,974.49,1029.65,22487.02,22789755.24
1521936000,975.38,994,969.63,975.94,20276.54,19901849.35
1522022400,913.74,980.1,886.18,975.38,34896.83,32326463.92
1522108800,877.69,928.65,873.73,913.74,34512.83,31192960.89
1522195200,861.18,897.94,850.87,877.69,32150.25,28131311.49
1522281600,711.13,869.29,696.55,861.16,111162.53,84465419.21
1522368000,696.93,772.11,675.11,711.13,93871.58,66701444.54
1522454400,685.47,737.71,681.71,696.98,44426.81,31372272.95
1522540800,644.25,700.69,627.08,685.47,64929.04,42473944.5
1522627200,663.98,687.9,639.4,644.1,37673.71,25140139.8
