time,close,high,low,open,volumefrom,volumeto
1469577600,1.6,2.3,1,2.2,361910.2,558826.04
1469664000,1.68,2.11,1.36,1.6,890279.17,1528481.27
1469750400,1.64,1.79,1.52,1.68,696558.4,1155257.71
1469836800,1.57,1.7,1.55,1.64,290616.19,470031.49
1469923200,1.79,1.92,1.41,1.57,777390.43,1378623.86
1470009600,2.29,2.29,1.7,1.79,1407689.44,2934310.81
1470096000,2.6,3.64,2.07,2.29,3310047.8,9019736.5
1470182400,2.56,3.2,2.18,2.6,694253.24,1912119.18
1470268800,2.28,2.77,2.1,2.56,325465.41,797911.44
1470355200,2.56,2.65,2.28,2.28,206961.04,514279.69
1470441600,2.67,2.88,2.5,2.56,241591.94,642312.57
1470528000,2.1,2.76,2.07,2.67,356906.22,823950.08
1470614400,2.13,2.4,1.95,2.1,315596.54,676649.99
1470700800,1.93,2.3,1.72,2.13,362849.98,719868.89
1470787200,1.69,2.06,1.6,1.93,523806.54,930980.15
1470873600,1.86,1.96,1.56,1.69,509012.43,901193.34
1470960000,1.82,2.09,1.81,1.86,452748.14,888271.77
1471046400,1.86,1.92,1.81,1.82,149604.05,278063.91
1471132800,1.92,1.99,1.86,1.86,287587.12,554137.58
1471219200,1.86,2,1.85,1.92,316592.41,610450.08
1471305600,1.86,1.89,1.8,1.86,129737.8,239243.97
1471392000,1.74,1.88,1.71,1.86,250185.72,443080.2
1471478400,1.69,1.78,1.63,1.74,198680.22,339452.91
1471564800,1.75,1.8,1.61,1.69,321845.39,541135.52
1471651200,1.74,1.76,1.69,1.75,109835.72,189740.72
1471737600,1.71,1.77,1.7,1.74,54628.22,93912.02
1471824000,1.66,1.74,1.62,1.71,271283,458768.15
1471910400,1.61,1.68,1.57,1.66,380034.84,611300.1
1471996800,1.47,1.79,1.42,1.61,407435.34,617129.77
1472083200,1.38,1.47,1.26,1.47,958552.84,1317721.38
1472169600,1.43,1.46,1.32,1.38,599753.38,830697.01
1472256000,1.36,1.46,1.34,1.43,266984.7,379511.1
1472342400,1.36,1.36,1.3,1.36,442967.8,587760.9
1472428800,1.24,1.36,1.24,1.36,535718.24,687881.85
1472515200,1.24,1.31,1.15,1.24,1204173.3,1517729.56
1472601600,1.19,1.27,1.16,1.24,547993.65,673241.57
1472688000,1.48,1.49,1.17,1.19,1267113.83,1650502.19
1472774400,1.4,1.48,1.37,1.48,458773.08,654230.47
1472860800,1.36,1.41,1.32,1.4,148458.1,202185.12
1472947200,1.44,1.45,1.3,1.36,286354.05,403639.68
1473033600,1.46,1.55,1.44,1.44,206496.87,308183.67
1473120000,1.48,1.5,1.44,1.46,221335.59,329114.81
1473206400,1.48,1.49,1.45,1.48,281174.38,410549.51
1473292800,1.47,1.54,1.46,1.48,126145.33,188384.33
1473379200,1.41,1.47,1.38,1.47,216285.19,306591.52
1473465600,1.42,1.45,1.4,1.41,148241.85,212144.48
1473552000,1.34,1.43,1.33,1.42,695957.98,953441.08
1473638400,1.33,1.35,1.31,1.34,207861.04,276246.25
1473724800,1.29,1.33,1.29,1.33,250440.22,328590.36
1473811200,1.3,1.32,1.26,1.29,240597.15,309312.73
1473897600,1.28,1.31,1.27,1.3,153890.3,200510.28
1473984000,1.33,1.34,1.28,1.28,207227.68,272345.17
1474070400,1.32,1.33,1.31,1.33,117472.28,154739.73
1474156800,1.33,1.55,1.32,1.32,319472.02,427802.95
1474243200,1.28,1.34,1.25,1.33,189601.16,247064.86
1474329600,1.25,1.28,1.24,1.28,291452.11,366568.21
1474416000,1.23,1.26,1.21,1.25,428098.49,532444.42
1474502400,1.26,1.33,1.12,1.23,637815.37,768300.64
1474588800,1.24,1.29,1.22,1.26,148019.09,184349.23
1474675200,1.25,1.25,1.23,1.24,114119.8,141297.48
1474761600,1.21,1.26,1.21,1.25,75184.36,92913.39
1474848000,1.2,1.22,1.2,1.21,136021.51,164619.84
1474934400,1.19,1.21,1.16,1.2,126951.09,150505.42
1475020800,1.24,1.27,1.19,1.19,283858.91,353233.54
1475107200,1.28,1.28,1.22,1.24,113198.81,140758.86
1475193600,1.26,1.3,1.24,1.28,97117.01,121747.35
1475280000,1.18,1.26,1.18,1.26,94906.92,114430.77
1475366400,1.2,1.22,1.18,1.18,127450.7,151874.21
1475452800,1.19,1.22,1.17,1.2,111375.57,131358.3
1475539200,1.15,1.19,1.15,1.19,168242.09,194640.59
