time,close,high,low,open,volumefrom,volumeto
1438905600,3,3,0.6747,0.6747,123.93,371.79
1438992000,1.2,3,0.15,3,2119.43,1438.16
1439078400,1.2,1.2,1.2,1.2,0,0
1439164800,1.2,1.2,1.2,1.2,0,0
1439251200,0.99,1.2,0.6504,1.2,9486.09,7419.73
1439337600,1.29,1.29,0.905,0.99,2140.46,2376.28
1439424000,1.88,1.88,1.26,1.29,3163.29,4923.22
1439510400,1.79,2.1,1.79,1.88,5800.73,11070.41
1439596800,1.79,1.79,1.5,1.79,8711.24,14812.75
1439683200,1.37,1.79,0.5,1.79,9714.19,10794.95
1439769600,1.3,1.59,1.25,1.37,4325.42,6063.99
1439856000,1.36,1.36,1.15,1.3,2390.72,2867.74
1439942400,1.24,1.36,0.99,1.36,4131.9,4769.3
1440028800,1.52,1.52,1.24,1.24,1273,1771.6
1440115200,1.44,1.53,1.44,1.52,6310.99,9197.39
1440201600,1.4,1.44,1.4,1.44,229.59,321.76
1440288000,1.35,1.4,1.31,1.4,323.11,438.75
1440374400,1.24,1.35,1.24,1.35,5117.98,6460.83
1440460800,1.27,1.28,1.22,1.24,938.92,1188.35
1440547200,1.18,1.27,1.08,1.27,2043.44,2337.47
1440633600,1.14,1.19,1.14,1.18,230.3,269.07
1440720000,1.3,1.3,1.14,1.14,20767.1,26922.13
1440806400,1.18,1.3,1.15,1.3,329.64,383.37
1440892800,1.32,1.35,1.17,1.18,8505.13,10975.8
1440979200,1.31,1.32,0.9,1.32,3258.74,3959.42
1441065600,1.36,1.38,1.31,1.31,894.21,1220.61
1441152000,1.14,1.37,1.14,1.36,519.87,698.71
1441238400,1.23,1.33,1.14,1.14,2872.93,3717.92
1441324800,1.35,1.4,1.28,1.28,15.39,18.76
1441411200,1.37,1.37,1.23,1.23,7881.76,10437.44
1441497600,1.34,1.39,1.34,1.37,111.78,145.64
1441584000,1.28,1.34,1.28,1.34,393.9,526.2
1441670400,1.26,1.28,1.26,1.28,82.23,103.93
1441756800,1.21,1.26,1.21,1.26,21.42,27.57
1441843200,1.19,1.21,1.12,1.21,2866.95,3361.62
1441929600,0.9242,1.19,0.9242,1.19,2877.26,3066.25
1442016000,1.15,1.15,0.9242,0.9242,509.27,513.1
1442102400,0.8856,1.15,0.8837,1.15,3917.32,3817.24
1442188800,0.955,0.9622,0.885,0.8856,870.32,805.59
1442275200,0.95,1,0.804,0.955,2558.87,2273.61
1442361600,0.9363,0.9563,0.9363,0.95,49.44,47.63
1442448000,0.875,0.9363,0.8238,0.9363,151.36,129.7
1442534400,0.8523,0.88,0.8523,0.875,684.62,593.31
1442620800,0.89,0.89,0.8013,0.8523,4.32,3.59
1442707200,0.8871,0.89,0.88,0.89,13.92,12.33
1442793600,0.9412,0.95,0.8871,0.8871,179.51,171.52
1442880000,0.8059,0.9412,0.8059,0.9412,199.71,175.81
1442966400,0.91,0.91,0.8059,0.8059,14.71,13.25
1443052800,0.8,0.91,0.8,0.91,690.58,568.89
1443139200,0.6823,0.8,0.6823,0.8,2933,2184.33
1443225600,0.7703,0.7703,0.6805,0.6823,79.54,58.79
1443312000,0.7008,0.7703,0.7007,0.7703,14.55,10.93
1443398400,0.6,0.7047,0.6,0.7008,5565.17,3491.1
1443484800,0.6816,0.6816,0.5,0.6,20404.67,11590.73
1443571200,0.7137,0.74,0.5046,0.6816,736.83,529.45
1443657600,0.6548,0.7137,0.6545,0.7137,654.4,457.44
1443744000,0.6647,0.666,0.6548,0.6548,400.99,266.64
1443830400,0.6796,0.6796,0.6647,0.6647,51.02,34.43
1443916800,0.6095,0.6747,0.6095,0.6796,791.61,533.8
1444003200,0.6078,0.6095,0.6078,0.6095,55.74,35.41
1444089600,0.6511,0.6511,0.6091,0.6078,24.17,15.52
1444176000,0.6,0.611,0.6,0.6511,2025.65,1236.98
1444262400,0.62,0.64,0.6,0.6,5755.79,3673.39
