time,close,high,low,open,volumefrom,volumeto
1382572800,3,3,3,3,2.71,8.12
1382659200,3,3,3,3,0,0
1382745600,3,3,3,3,0,0
1382832000,3,3,3,3,0,0
1382918400,3,3,3,3,0,0
1383004800,3,3,3,3,0,0
1383091200,3,3,3,3,0,0
1383177600,3,3,3,3,0,0
1383264000,3,3,3,3,0,0
1383350400,3,3,3,3,0,0
1383436800,3,3,3,3,0,0
1383523200,3,3,3,3,7.27,21.81
1383609600,3,3,3,3,0,0
1383696000,3,3,3,3,0,0
1383782400,3.2,3.2,3,3,9,28.8
1383868800,3.2,3.2,3.2,3.2,0.8219,2.63
1383955200,3.2,3.2,3.2,3.2,0,0
1384041600,3.2,3.2,3.2,3.2,0,0
1384128000,3.2,3.2,3.2,3.2,0,0
1384214400,3.2,3.2,3.2,3.2,0,0
1384300800,5,5,3.2,3.2,225.75,1128.77
1384387200,3,5,3,5,12,38
1384473600,5,5,3,3,10.06,50.3
1384560000,4.25,5,4.25,5,5.07,21.54
1384646400,4.25,4.25,4.25,4.25,0,0
1384732800,5,5,4.25,4.25,5,25
1384819200,9,10,5,5,29.14,272.36
1384905600,9,9,9,9,2.47,22.26
1384992000,9,9,9,9,94.53,850.74
1385078400,10,11,9,9,63.81,658.15
1385164800,12.8,14.5,10,10,2577.36,32377.01
1385251200,10,13.8,10,12.8,7.62,96.56
1385337600,12,14,10,10,183.41,2328.81
1385424000,20.5,20.5,11,12,504.89,7634.59
1385510400,35.99,50,20.5,20.5,457.22,14864.46
1385596800,46.1,65,35.99,35.99,242.02,13001.19
1385683200,41,50,30.2,46.1,292.59,11730.18
1385769600,41,48,38,41,148.71,6048.13
1385856000,35.3,41.21,24.48,41,50.11,1676.31
1385942400,33.51,40.5,29.8,35.3,103.24,3620.97
1386028800,33,36.4,32,33.51,208.13,7169.14
1386115200,32.2,43,31,33,571.7,20974.84
1386201600,38,42.99,29,32.2,700.64,24291.88
1386288000,32,39.2,32,38,200.96,7020.76
1386374400,22.78,32,11,32,334.46,7637.81
1386460800,27.93,28.4,22.78,22.78,77.34,2092.79
1386547200,31.98,32.59,27,27.93,116.9,3602.87
1386633600,35.26,36.6,31.98,31.98,215.22,7327.32
1386720000,31.57,35.26,28.78,35.26,428.65,13797.23
1386806400,31,32.93,30.98,31.57,46.32,1459.21
1386892800,30.59,33,30.01,31,127.04,3919.76
1386979200,30.01,32.39,30.01,30.59,114.72,3515.69
1387065600,30.92,31.8,29.15,30.01,251.9,7727.67
1387152000,25.77,32.13,25,30.92,123.09,3419.23
1387238400,23.74,29,20.01,25.77,223.59,5200.48
1387324800,13,23.74,8.48,23.74,1001.01,14485.93
1387411200,19.8,20,13,13,41.36,781.76
1387497600,18.85,22,17.22,19.8,59.73,1168.64
1387584000,17.13,18.85,17.13,18.85,9.36,169.56
1387670400,18,19.01,17.13,17.13,133.66,2413.68
1387756800,17.2,18.74,16.73,18,229.36,4050.06
1387843200,18,18,17.2,17.2,53.75,944.91
1387929600,22.06,22.06,17.5,18,310.75,5994.88
1388016000,24.97,25,21.9,22.06,1008.08,24203.98
1388102400,22.06,24.97,22,24.97,317.59,7416.26
1388188800,22.33,23.33,22.06,22.06,12.11,270.87
1388275200,24.51,24.51,22.32,22.33,39.77,928.64
1388361600,24.96,25.18,23.16,24.51,187.11,4646.3
1388448000,23.55,24.98,23.55,24.96,12.77,315.99
1388534400,24.77,25,23.55,23.55,84.96,2048.27
1388620800,26.6,26.6,23.88,24.77,192.65,4818.29
1388707200,25.49,26.6,24.1,26.6,32.6,807.61
1388793600,24.05,25.49,24.05,25.49,17.32,417.81
1388880000,26.01,27,24.05,24.05,611,16138.62
1388966400,28.7,31.26,22.23,26.01,455.47,12995.74
1389052800,23,29.71,23,28.7,364.33,9318.1
1389139200,24.9,26,22.19,23,239.07,5690.11
1389225600,24.5,25.79,24,24.9,15.93,393.2
1389312000,24.06,25.79,24,24.5,35.93,885.85
1389398400,26.35,27.62,24.06,24.06,76.86,2015.33
1389484800,25.39,26.45,24,26.35,86.59,2208.84
1389571200,25.01,26.31,24,25.39,823.56,20878.49
1389657600,24.52,25.01,24,25.01,8.85,213.29
1389744000,24.52,25.47,24.39,24.52,19.19,471.28
1389830400,24.01,25.37,24.01,24.52,71.97,1748.23
1389916800,24,24.99,23.27,24.01,101.41,2426.34
1390003200,24.94,24.99,23.5,24,518.55,12878.59
1390089600,24.9,24.94,23.35,24.94,13.63,320.59
1390176000,24.28,24.9,24.28,24.9,21.2,519.71
1390262400,25.49,25.5,23.5,24.28,168.54,4143.67
1390348800,23,25.49,22.39,25.49,53.46,1259.7
1390435200,22.3,23.73,22.3,23,125.27,2821.68
1390521600,21.05,22.89,20.5,22.3,285.06,6188.42
1390608000,22.26,22.35,20.29,21.05,136.44,2899.2
1390694400,22.34,24,22,22.26,319.66,7269.52
1390780800,20.78,23.5,20.78,22.34,443.6,9919.93
1390867200,22.88,23,20.29,20.78,81.21,1833.9
1390953600,21.7,22.88,20.63,22.88,100.49,2131.67
1391040000,20.72,21.99,20.62,21.7,9.14,190.35
1391126400,21.59,21.61,20.72,20.72,52.26,1109.19
1391212800,21.46,22.66,21.3,21.59,32.25,703.47
1391299200,21.87,21.87,21.46,21.46,11.26,246.2
1391385600,21.41,21.87,21.41,21.87,4.63,99.78
1391472000,21.07,21.65,21.01,21.41,66.13,1402.72
1391558400,21.2,21.7,21,21.07,153.81,3248.6
1391644800,19.8,21.55,19.8,21.2,52.34,1066.4
1391731200,18.89,20,17.2,19.8,101.31,1864.81
1391817600,17.5,20.29,17.5,18.89,180.81,3435.33
1391904000,18.7,19.81,17,17.5,95,1778.38
1391990400,17.9,19.71,14,18.7,329.83,5280.48
1392076800,16.3,19.69,15.7,17.9,344.8,5503.51
1392163200,19.49,19.49,16.3,16.3,28.01,490.32
1392249600,16.42,19.49,16.38,19.49,181.79,2990.39
1392336000,16.76,16.84,14.37,16.42,86.08,1355.13
1392422400,16.28,16.76,16.28,16.76,1.4,22.79
1392508800,15.23,16.28,15.23,16.28,11.69,178.08
1392595200,15.76,15.76,15.23,15.23,25.3,385.91
1392681600,17.28,17.28,15.63,15.76,52.57,900.07
1392768000,15.83,17.41,15.81,17.28,8.17,134.4
1392854400,15.95,17.2,14.35,15.83,234.94,3719.94
1392940800,14.89,15.95,14.34,15.95,118.62,1798.45
1393027200,13.32,15.63,13.32,14.89,31.54,461.13
1393113600,15,16.62,13.32,13.32,104.95,1700.96
1393200000,15.22,15.93,14.21,15,121.65,1859.84
1393286400,14.42,15.22,11.13,15.22,654.62,8630.86
1393372800,15.85,16.61,14.13,14.42,629.06,9672.38
1393459200,14.84,15.85,14.58,15.85,139.35,2076.86
1393545600,15.05,15.05,14,14.84,157.28,2300.79
1393632000,13.54,15.05,13.54,15.05,18.42,258.36
1393718400,12.86,13.54,12.86,13.54,9.64,125.43
1393804800,14.24,15.49,12.86,12.86,152.66,2202.59
1393891200,17.11,19.9,14.24,14.24,465.21,8051.45
1393977600,17.34,18.03,15.01,17.11,61.57,980.83
1394064000,16.82,17.5,16.82,17.34,45.89,784.55
1394150400,16.89,16.89,16.43,16.82,73.27,1205.51
