time,close,high,low,open,volumefrom,volumeto
1507593600,0.00255,0.00256,0.00168,0.00179,135500,305.07
1507680000,0.0025,0.00339,0.00166,0.00255,2129100,5429.83
1507766400,0.0018,0.00293,0.0018,0.0025,142200,290.1
1507852800,0.00201,0.00288,0.0018,0.0018,107700,220.02
1507939200,0.00274,0.00293,0.00199,0.00201,48800,119.52
1508025600,0.00225,0.00292,0.00199,0.00274,147500,393.05
1508112000,0.00253,0.00392,0.00198,0.00297,300800,667.39
1508198400,0.00218,0.00253,0.00177,0.00253,53800,97.83
1508284800,0.00192,0.00216,0.00184,0.002,661300,1359.56
1508371200,0.0018,0.00217,0.00178,0.00192,48328000,89849.51
1508457600,0.00213,0.00214,0.00178,0.0018,2373700,4509.58
1508544000,0.00234,0.00256,0.00183,0.00213,1118800,2288.51
1508630400,0.00265,0.00265,0.00205,0.00234,361400,921.61
1508716800,0.00312,0.00319,0.00217,0.00265,762000,2330.55
1508803200,0.00266,0.00314,0.00215,0.00312,295900,762.49
1508889600,0.004,0.004,0.00266,0.00266,1308600,4061.19
1508976000,0.00296,0.00412,0.00252,0.004,942000,2713.47
1509062400,0.00312,0.00379,0.00261,0.00296,969400,2972.17
1509148800,0.00368,0.00369,0.0029,0.00312,665800,2109.54
1509235200,0.00269,0.00469,0.00264,0.00368,688300,2526.42
1509321600,0.00262,0.0037,0.00228,0.00269,714200,1934.03
1509408000,0.00278,0.0034,0.00249,0.00262,2548600,7086.06
1509494400,0.00222,0.00283,0.00221,0.00278,200900,473.35
1509580800,0.00212,0.0027,0.00202,0.00222,207000,498.05
1509667200,0.00217,0.00263,0.00212,0.00212,53600,134.01
1509753600,0.00218,0.0026,0.00215,0.00217,116400,271.48
1509840000,0.00248,0.00255,0.00215,0.00218,171200,387.15
1509926400,0.00183,0.00248,0.00182,0.00248,389800,861.38
1510012800,0.00231,0.00234,0.00183,0.00183,217300,474.17
1510099200,0.00236,0.00247,0.00215,0.00231,1459500,3352.05
1510185600,0.00243,0.00246,0.00225,0.00236,469900,1109.85
1510272000,0.00228,0.00243,0.002,0.00243,333400,720.97
1510358400,0.00225,0.00233,0.00181,0.00228,495600,1032.35
1510444800,0.00185,0.0031,0.00157,0.00225,1852800,3952.79
1510531200,0.00215,0.0023,0.00177,0.00185,868000,1856.03
1510617600,0.0025,0.00263,0.00203,0.00215,1519400,3668.41
1510704000,0.0023,0.00262,0.0021,0.0025,1885200,4511.73
1510790400,0.0022,0.00235,0.0019,0.0023,1868900,4017.53
1510876800,0.002,0.0023,0.002,0.0022,2197500,4538.75
1510963200,0.00193,0.0022,0.00175,0.002,4680200,9094.27
1511049600,0.00196,0.00206,0.00192,0.00193,1861700,3738.86
1511136000,0.00215,0.00224,0.00196,0.00196,2667700,5596.28
1511222400,0.00212,0.00225,0.00183,0.00215,2316000,4955.41
1511308800,0.00253,0.003,0.00212,0.00212,1802100,4683.04
1511395200,0.00233,0.003,0.0022,0.00253,4124000,11105.72
1511481600,0.0021,0.0026,0.00195,0.00233,2196500,4595.53
1511568000,0.002,0.00227,0.00196,0.0021,2432200,5022.97
1511654400,0.00208,0.00248,0.002,0.002,2447100,5294.15
1511740800,0.00209,0.00235,0.00201,0.00208,853100,1796.12
1511827200,0.00226,0.00275,0.00201,0.00209,5413300,13104.46
1511913600,0.00215,0.00294,0.00186,0.00226,4102300,9399.59
1512000000,0.0022,0.00242,0.00204,0.00215,2574300,5551.55
1512086400,0.00206,0.00239,0.00205,0.0022,3670400,7646.94
1512172800,0.00202,0.0022,0.002,0.00206,2156600,4397.08
1512259200,0.002,0.0022,0.00195,0.00202,3583400,7542.13
1512345600,0.00212,0.00219,0.0019,0.002,6754400,13814.27
1512432000,0.00204,0.0022,0.00202,0.00212,5525800,11566.06
1512518400,0.00386,0.00419,0.00204,0.00204,13158700,35876.83
1512604800,0.00364,0.00591,0.00294,0.00386,30744900,135870.99
1512691200,0.00404,0.00414,0.00287,0.00364,17002900,60318.31
1512777600,0.00439,0.00458,0.00394,0.00404,12034600,51440.31
1512864000,0.00414,0.00449,0.00331,0.00439,5561700,22574.85
1512950400,0.00496,0.00525,0.00409,0.00414,10684500,51760.33
1513036800,0.00767,0.008,0.00488,0.00512,17182300,109576.36
1513123200,0.01472,0.0206,0.00654,0.00767,22159563.74,286782.69
1513209600,0.01754,0.02041,0.013,0.0147,20351396.01,353615.09
1513296000,0.0185,0.01904,0.01265,0.01754,13370257.26,212866.81
1513382400,0.03586,0.03901,0.01742,0.01851,25304573.4,717825.11
1513468800,0.03417,0.04093,0.03015,0.03587,16978259.57,608356.45
1513555200,0.04556,0.05256,0.0305,0.034,26546013.81,1115064.48
1513641600,0.04226,0.05009,0.0382,0.04556,17001642.64,739566.25
1513728000,0.04689,0.04689,0.02686,0.04236,23140957.59,868225.93
1513814400,0.04829,0.06969,0.04146,0.04688,25596613.03,1376577.35
1513900800,0.03653,0.04877,0.02072,0.04829,28715779.24,999508.47
1513987200,0.04813,0.05638,0.03273,0.03744,33235497.97,1434012.98
1514073600,0.03812,0.05102,0.03162,0.04811,36642046.43,1397619.17
1514160000,0.03342,0.04018,0.03124,0.03615,16584383.28,601107.61
1514246400,0.03763,0.05088,0.03144,0.03295,29688891.52,1155999.59
1514332800,0.03649,0.0418,0.03366,0.03762,21261366.83,790115.86
1514419200,0.03984,0.04017,0.03001,0.03649,17691297.73,603769.47
1514505600,0.03543,0.04244,0.03346,0.03983,19908957.97,744970.78
1514592000,0.03751,0.04134,0.0288,0.03543,18454838.11,650470.81
1514678400,0.04862,0.04936,0.03376,0.03752,15377991.11,644515.53
1514764800,0.0579,0.06129,0.04231,0.04862,26771041.32,1385041.55
1514851200,0.09997,0.119,0.0579,0.0579,57123465.69,4832193.04
1514937600,0.1294,0.131,0.08494,0.09809,36490029.62,3817909.41
1515024000,0.2537,0.3876,0.1172,0.1307,79407644.92,18153816.44
1515110400,0.2985,0.382,0.2083,0.2536,56855742.62,16580952.61
1515196800,0.194,0.3182,0.1453,0.2981,51968834.19,10868708.06
1515283200,0.2182,0.2376,0.1466,0.1963,61698300.58,10881560.05
1515369600,0.1509,0.219,0.1241,0.2163,45215057.26,7437614.11
1515456000,0.1254,0.1547,0.1031,0.1517,41194659.44,5415399.21
1515542400,0.1328,0.1437,0.09765,0.1254,49680167.39,6006715.1
1515628800,0.1108,0.1339,0.1001,0.1332,32194532.3,3650414.96
1515715200,0.1086,0.117,0.104,0.1108,18212779.38,2013551.37
1515801600,0.1041,0.122,0.1009,0.1086,24137016.41,2647531.84
1515888000,0.08614,0.1061,0.08429,0.1041,22936043.35,2149288.57
1515974400,0.07826,0.1046,0.06668,0.08614,42923962.65,3613876.25
1516060800,0.05808,0.0839,0.04135,0.07767,48240640.65,2900953.77
1516147200,0.0854,0.107,0.04902,0.05743,69097719.67,5023979.89
1516233600,0.086,0.1085,0.07608,0.08543,41814450.71,3867488.57
1516320000,0.0809,0.09487,0.07865,0.08338,16925390.3,1456384.83
1516406400,0.08601,0.08946,0.08067,0.0809,15798816.83,1351560.1
1516492800,0.0719,0.08601,0.0675,0.08601,19144995.67,1450560.14
1516579200,0.07199,0.08292,0.06265,0.07176,17746900,1270665.31
1516665600,0.06861,0.07499,0.06296,0.07179,16977857.99,1173388.36
1516752000,0.07221,0.07628,0.06656,0.06858,20525952.75,1474028.72
1516838400,0.06896,0.07687,0.06671,0.07221,10015901.02,702261.93
1516924800,0.06635,0.07213,0.06009,0.0697,16630523.89,1096115.66
1517011200,0.06983,0.0703,0.06399,0.06637,12473733.79,849904.98
1517097600,0.06665,0.0729,0.06561,0.06956,14325165.91,991763.06
1517184000,0.06446,0.06861,0.06364,0.06657,10360222.21,683635.03
1517270400,0.05421,0.0655,0.05194,0.0646,17276716.48,1004559.19
1517356800,0.05564,0.05564,0.05047,0.05421,13491571.08,722256.67
